basin_id,field_id,dependence_family_id,qualified_status,scorable_status,attrition_reason,valid_MD_coverage,valid_scoring_points,valid_segments,MAE_FrozenExtraTrees,MAE_SourceMedian,MAE_FrozenSourceOnlyRidge,transfer_gain_vs_median,complexity_gain_vs_ridge,log_MAE_ratio_vs_median,fixed_block_MAE_FrozenExtraTrees,fixed_block_MAE_SourceMedian,notes
SYNTH_BASIN_1,SYNTH_FIELD_1,SYNTH_FIELD_1_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,1.8038868283394194,0.6290949886372859,1.291897155810799,0.11710531610866559,-1.259394510924727,0.5119896725286203,1.8038868283394194,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_1,SYNTH_FIELD_1,SYNTH_FIELD_1_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,1.936030347465581,0.629094988637286,1.4240406749369605,0.11710531610866559,-1.3300904890639218,0.5119896725286204,1.936030347465581,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_1,SYNTH_FIELD_2,SYNTH_FIELD_2_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,2.050461679320888,0.629094988637286,1.5384720067922675,0.11710531610866559,-1.3875158022079064,0.5119896725286204,2.050461679320888,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_1,SYNTH_FIELD_2,SYNTH_FIELD_2_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,2.239278137622959,0.629094988637286,1.7272884650943385,0.11710531610866559,-1.4756043789288908,0.5119896725286204,2.239278137622959,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_2,SYNTH_FIELD_3,SYNTH_FIELD_3_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,2.389278137622958,0.629094988637286,1.8772884650943376,0.11710531610866559,-1.5404421108430433,0.5119896725286204,2.389278137622958,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_2,SYNTH_FIELD_3,SYNTH_FIELD_3_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,2.5892781376229568,0.6290949886372859,2.0772884650943366,0.11710531610866559,-1.620829950510336,0.5119896725286203,2.5892781376229568,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_2,SYNTH_FIELD_4,SYNTH_FIELD_4_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,2.739278137622961,0.629094988637286,2.2272884650943405,0.11710531610866559,-1.6771452572563543,0.5119896725286204,2.739278137622961,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_2,SYNTH_FIELD_4,SYNTH_FIELD_4_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,2.9392781376229586,0.6290949886372859,2.4272884650943385,0.11710531610866559,-1.7476148447706557,0.5119896725286203,2.9392781376229586,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_3,SYNTH_FIELD_5,SYNTH_FIELD_5_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,3.089278137622956,0.6290949886372859,2.5772884650943357,0.11710531610866559,-1.797388276186869,0.5119896725286203,3.089278137622956,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_3,SYNTH_FIELD_5,SYNTH_FIELD_5_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,3.289278137622956,0.629094988637286,2.777288465094336,0.11710531610866559,-1.8601189546349026,0.5119896725286204,3.289278137622956,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_3,SYNTH_FIELD_6,SYNTH_FIELD_6_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,3.4392781376229578,0.6290949886372859,2.9272884650943376,0.11710531610866559,-1.9047124306393797,0.5119896725286203,3.4392781376229578,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_3,SYNTH_FIELD_6,SYNTH_FIELD_6_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,3.6392781376229606,0.629094988637286,3.12728846509434,0.11710531610866559,-1.9612361731306154,0.5119896725286204,3.6392781376229606,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_4,SYNTH_FIELD_7,SYNTH_FIELD_7_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,3.789278137622956,0.629094988637286,3.277288465094336,0.11710531610866559,-2.001626360935038,0.5119896725286204,3.789278137622956,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_4,SYNTH_FIELD_7,SYNTH_FIELD_7_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,3.989278137622962,0.629094988637286,3.4772884650943414,0.11710531610866559,-2.0530611216337764,0.5119896725286204,3.989278137622962,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_4,SYNTH_FIELD_8,SYNTH_FIELD_8_FAMILY_1,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286204,4.13927813762296,0.629094988637286,3.62728846509434,0.11710531610866559,-2.0899722347298435,0.5119896725286204,4.13927813762296,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_4,SYNTH_FIELD_8,SYNTH_FIELD_8_FAMILY_2,QUALIFIED,SCORABLE,,120.0,241,1,0.5119896725286203,4.339278137622957,0.6290949886372859,3.8272884650943366,0.11710531610866559,-2.1371588315302774,0.5119896725286203,4.339278137622957,SYNTHETIC_DRY_RUN_ONLY
SYNTH_BASIN_1,SYNTH_FIELD_1,SYNTH_FIELD_1_FAMILY_3_SHORT,QUALIFIED,NOT_SCORABLE,BELOW_FROZEN_MD_COVERAGE,30.0,61,1,,,,,,,,,SYNTHETIC_DRY_RUN_ONLY
