"record_status","archive_id","archive_sha256","basin_id","field_id","dependence_family_id","T1a_status","T1a_reason","T1b_status","T1b_reason","semantic_status","semantic_reason","T2_qualified","qualified_date","scorable_status_T3","scorable_reason","valid_MD_coverage","valid_scoring_points","valid_segments","primary_field_eligible","exclusion_reason_code","notes"
"ACTIVE","T0_GIPPSLAND_001","df2e36993fe6c7cc00403e38ecae832503424ca4167bd1ecf93385e99f88f6a3","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: D00019177.zip; T1a0 member_count=120; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_002","ad5fa907d04936b53f5ed55d14f7cd06fe7d8d5724be56e98a06dce077cfc483","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: D00019178.zip; T1a0 member_count=735; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_003","4671c4fe98ef9282f7c22d8495c4f492520e3f1850db9d64c6c9fabf804e4ccf","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00596424.zip; T1a0 member_count=1097; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_004","b614b3794db8e579bc7cd0f31a999135604edd2f106a16073b386ebb75fdfbfe","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00596425.zip; T1a0 member_count=200; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_005","2e42fdb34e0ee95d3e5d72cfaed082010f466033a7cddbe3e25b28177c003299","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00635896.zip; T1a0 member_count=152; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_006","f27731b022152c279be8317e7d8c73c51258059bd739c59f93db2333d3892b76","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00670761.zip; T1a0 member_count=245; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_007","acb4b0bb00c5bfa7a26b1d426a76fe98c8eb1549e85856d3a1b48c6298bd563a","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00670762.zip; T1a0 member_count=92; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_008","98efce34698840a95fa5fc99df30598871c8cea49e696bdca4bb53fbf42e7445","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00685207.zip; T1a0 member_count=81; all5_candidate_tokens=true"
"ACTIVE","T0_GIPPSLAND_009","46e2a5bc72c8bcc5f78a75d30e535125496e03b0b21e206a0bd945b6c557f85a","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00685209.zip; T1a0 member_count=6889; all5_candidate_tokens=false"
"ACTIVE","T0_GIPPSLAND_010","f2f72b7911693cee2232dca2796cd2186004f81e9ddcf48bfcf2e3b9f8f252e8","PENDING_T1A","PENDING_T1A","PENDING_PRINCIPAL_DEPENDENCE_REVIEW","IDENTITY_DEPENDENCE_CANDIDATES_PENDING_PRINCIPAL_REVIEW","Candidate identities and conservative dependence components generated from frozen header/path evidence; final review pending","NOT_STARTED","","NOT_STARTED","","NOT_ASSESSED","","NOT_UNLOCKED","","","","","NOT_ASSESSED","","T0 relative path: P00712821.zip; T1a0 member_count=55; all5_candidate_tokens=true"
